confound_strength,passive_estimation_noise,trials,total_success_rate,causal_success_rate,oracle_success_rate,total_mean_progress,causal_mean_progress,oracle_mean_progress,total_distractor_rate,causal_distractor_rate
0.0,0.0,2000,1.0,1.0,1.0,0.9274785528130375,0.9274785528130375,0.9274785528130375,0.0,0.0
0.0,0.05,2000,1.0,1.0,1.0,0.9245661931992011,0.9245661931992011,0.9245661931992011,0.0,0.0
0.0,0.1,2000,1.0,1.0,1.0,0.9276304029547846,0.9276304029547846,0.9276304029547846,0.0,0.0
0.0,0.2,2000,1.0,0.9565,1.0,0.9256315441810543,0.896035140062937,0.9256315441810543,0.0,0.0005
0.0,0.35,2000,1.0,0.658,1.0,0.9261853965959367,0.6558549630899904,0.9261853965959367,0.0,0.0045
0.25,0.0,2000,1.0,1.0,1.0,0.9253882675687116,0.9253882675687116,0.9253882675687116,0.0,0.0
0.25,0.05,2000,1.0,1.0,1.0,0.926718484694361,0.926718484694361,0.926718484694361,0.0,0.0
0.25,0.1,2000,1.0,1.0,1.0,0.9280885191474161,0.9280885191474161,0.9280885191474161,0.0,0.0
0.25,0.2,2000,1.0,0.95,1.0,0.9256540520485557,0.891885848616021,0.9256540520485557,0.0,0.0015
0.25,0.35,2000,1.0,0.6445,1.0,0.9234877645529738,0.6434459165109117,0.9234877645529738,0.0,0.008
0.5,0.0,2000,0.992,1.0,1.0,0.9212404631367282,0.9270526145237287,0.9270526145237287,0.008,0.0
0.5,0.05,2000,0.995,1.0,1.0,0.9241247334995841,0.9277191668335293,0.9277191668335293,0.005,0.0
0.5,0.1,2000,0.9945,1.0,1.0,0.9195504992553463,0.9232906173066713,0.9232906173066713,0.0055,0.0
0.5,0.2,2000,0.99,0.955,1.0,0.9194133019592011,0.8965170209067401,0.9264537117305851,0.01,0.0005
0.5,0.35,2000,0.995,0.64,1.0,0.9224684802624836,0.63984616102346,0.926106735199714,0.005,0.0105
0.75,0.0,2000,0.81,1.0,1.0,0.7690318921150815,0.9245352498781596,0.9245352498781596,0.19,0.0
0.75,0.05,2000,0.8225,1.0,1.0,0.7789261858231603,0.9241581459668634,0.9241581459668634,0.1775,0.0
0.75,0.1,2000,0.8035,1.0,1.0,0.764216084150716,0.9247943147144214,0.9247943147144214,0.1965,0.0
0.75,0.2,2000,0.8265,0.946,1.0,0.7822799598262392,0.889213066082488,0.9255102166529734,0.1735,0.001
0.75,0.35,2000,0.804,0.6455,1.0,0.7625993033587476,0.6456128282557427,0.9217310900441866,0.196,0.0105
1.0,0.0,2000,0.3795,1.0,1.0,0.369907916212058,0.9212662443112076,0.9212662443112076,0.6205,0.0
1.0,0.05,2000,0.4075,1.0,1.0,0.40136068665920144,0.9301026169264458,0.9301026169264458,0.5925,0.0
1.0,0.1,2000,0.3635,1.0,1.0,0.35721811443518925,0.9228327581781535,0.9228327581781535,0.6365,0.0
1.0,0.2,2000,0.389,0.9435,1.0,0.37776080383013616,0.8877054659876649,0.9268605241307508,0.611,0.0005
1.0,0.35,2000,0.3785,0.6375,1.0,0.3718190578977625,0.6360294253560005,0.9235408633424773,0.6215,0.007
1.5,0.0,2000,0.013,1.0,1.0,0.0031276131402022777,0.927691257493664,0.927691257493664,0.987,0.0
1.5,0.05,2000,0.0105,1.0,1.0,-0.00038393021120933837,0.9240258656728831,0.9240258656728831,0.9895,0.0
1.5,0.1,2000,0.0085,1.0,1.0,0.0017252933443156987,0.9235328620288251,0.9235328620288251,0.9915,0.0
1.5,0.2,2000,0.017,0.956,1.0,0.0059183032169704275,0.8967051564667511,0.9261745241064354,0.983,0.0
1.5,0.35,2000,0.0185,0.6505,1.0,0.01060459774573096,0.6480223074914658,0.9251393791279269,0.9815,0.008
2.0,0.0,2000,0.0,1.0,1.0,-0.007899477775762094,0.9283401754107138,0.9283401754107138,1.0,0.0
2.0,0.05,2000,0.0,1.0,1.0,-0.010183956091908515,0.9301397086174001,0.9301397086174001,1.0,0.0
2.0,0.1,2000,0.0,1.0,1.0,-0.010163027837059321,0.9256602848703992,0.9256602848703992,1.0,0.0
2.0,0.2,2000,0.0,0.95,1.0,-0.009380927878034868,0.8894658818968298,0.9224577498990228,1.0,0.0005
2.0,0.35,2000,0.0,0.6475,1.0,-0.008071159107170049,0.6503490290742417,0.9270741106090932,1.0,0.009
3.0,0.0,2000,0.0,1.0,1.0,-0.011334797121301832,0.9241880997621523,0.9241880997621523,1.0,0.0
3.0,0.05,2000,0.0,1.0,1.0,-0.008738620636314717,0.9211845510638685,0.9211845510638685,1.0,0.0
3.0,0.1,2000,0.0,1.0,1.0,-0.007544973577744567,0.9267781577320744,0.9267781577320744,1.0,0.0
3.0,0.2,2000,0.0,0.9495,1.0,-0.012800765313930302,0.8884139482556374,0.9225424285325742,1.0,0.0015
3.0,0.35,2000,0.0,0.639,1.0,-0.008529651897476207,0.6420405300241496,0.9273782244384383,1.0,0.01
